Timestamp,game,balanced,challenge,unsure,smart,difficult,strategy,won
4/26/2017 2:37:05,data/questionnaire\0evo-save.txt,4,3,5,3,3,3,Ano
4/26/2017 15:06:24,data/questionnaire\0evo-save.txt,5,4,3,6,3,6,Ano
4/26/2017 17:33:03,data/questionnaire\0evo-save.txt,3,6,2,5,6,5,Ano
4/26/2017 19:40:37,data/questionnaire\0evo-save.txt,2,5,2,7,6,6,Ne
4/27/2017 16:52:13,data/questionnaire\0evo-save.txt,1,4,1,3,6,2,Ne
4/29/2017 9:30:39,data/questionnaire\0evo-save.txt,5,7,3,7,6,7,Ne
5/1/2017 14:53:12,data/questionnaire\0evo-save.txt,1,6,3,5,5,5,Ano
5/1/2017 20:48:28,data/questionnaire\0evo-save.txt,2,2,1,2,2,2,Ano
4/26/2017 2:40:07,data/questionnaire\10evo-save.txt,7,3,7,7,2,7,Ne
4/26/2017 15:11:52,data/questionnaire\10evo-save.txt,4,6,2,6,6,6,Ne
4/26/2017 17:47:18,data/questionnaire\10evo-save.txt,2,3,2,5,4,5,Ano
4/26/2017 19:45:24,data/questionnaire\10evo-save.txt,6,6,2,2,2,5,Ano
4/27/2017 17:03:37,data/questionnaire\10evo-save.txt,1,1,1,1,1,1,Ano
4/29/2017 9:39:10,data/questionnaire\10evo-save.txt,3,5,2,4,3,5,Ano
5/1/2017 14:57:52,data/questionnaire\10evo-save.txt,3,2,2,3,3,3,Ano
5/1/2017 20:51:15,data/questionnaire\10evo-save.txt,1,1,1,3,6,3,Ne
4/26/2017 2:43:35,data/questionnaire\11evo-save.txt,3,6,6,7,6,6,Ne
4/26/2017 15:15:18,data/questionnaire\11evo-save.txt,2,4,2,5,7,5,Ne
4/26/2017 17:56:36,data/questionnaire\11evo-save.txt,6,6,4,6,6,7,Ano
4/26/2017 19:50:51,data/questionnaire\11evo-save.txt,5,5,7,3,5,5,Ano
4/27/2017 17:07:35,data/questionnaire\11evo-save.txt,1,1,1,3,6,2,Ne
4/29/2017 9:46:42,data/questionnaire\11evo-save.txt,2,6,1,5,7,6,Ne
5/1/2017 15:01:29,data/questionnaire\11evo-save.txt,3,6,2,4,6,6,Ne
5/1/2017 20:53:58,data/questionnaire\11evo-save.txt,1,1,1,4,7,4,Ne
4/26/2017 2:46:18,data/questionnaire\12evo-save.txt,7,6,7,7,5,7,Ne
4/26/2017 15:20:55,data/questionnaire\12evo-save.txt,6,6,7,7,5,7,Ano
4/26/2017 18:05:10,data/questionnaire\12evo-save.txt,5,7,3,6,5,6,Ano
4/26/2017 19:53:40,data/questionnaire\12evo-save.txt,3,3,2,2,2,3,Ano
4/29/2017 9:53:38,data/questionnaire\12evo-save.txt,3,4,3,6,3,5,Ano
5/1/2017 20:57:25,data/questionnaire\12evo-save.txt,5,5,5,4,5,5,Ano
4/26/2017 2:50:03,data/questionnaire\13evo-save.txt,6,4,6,6,3,5,Ano
4/26/2017 18:10:05,data/questionnaire\13evo-save.txt,5,3,1,6,3,6,Ano
4/26/2017 19:59:26,data/questionnaire\13evo-save.txt,5,4,6,5,3,3,Ano
4/29/2017 9:59:01,data/questionnaire\13evo-save.txt,3,3,1,3,3,3,Ano
5/1/2017 22:14:47,data/questionnaire\13evo-save.txt,5,5,5,5,5,5,Ne
5/1/2017 23:10:32,data/questionnaire\13evo-save.txt,4,5,2,6,4,6,Ano
4/26/2017 2:53:20,data/questionnaire\14evo-save.txt,5,7,7,7,6,6,Ne
4/26/2017 18:14:29,data/questionnaire\14evo-save.txt,7,6,6,7,6,7,Ne
4/26/2017 20:02:52,data/questionnaire\14evo-save.txt,2,2,3,3,2,3,Ano
4/29/2017 10:05:53,data/questionnaire\14evo-save.txt,4,5,1,6,6,5,Ne
5/1/2017 22:16:50,data/questionnaire\14evo-save.txt,5,5,5,6,5,5,Ne
5/1/2017 23:13:16,data/questionnaire\14evo-save.txt,2,4,2,5,6,5,Ne
4/26/2017 2:55:03,data/questionnaire\15evo-save.txt,2,7,3,5,6,7,Ne
4/26/2017 18:17:50,data/questionnaire\15evo-save.txt,4,5,3,6,6,7,Ne
4/26/2017 20:05:13,data/questionnaire\15evo-save.txt,5,3,3,5,5,4,Ne
4/29/2017 10:10:48,data/questionnaire\15evo-save.txt,4,7,7,6,5,6,Ano
5/1/2017 22:19:05,data/questionnaire\15evo-save.txt,2,4,2,3,5,3,Ne
5/1/2017 23:16:40,data/questionnaire\15evo-save.txt,6,6,7,6,5,6,Ne
4/26/2017 2:59:47,data/questionnaire\16evo-save.txt,7,4,7,7,3,7,Ano
4/26/2017 18:21:34,data/questionnaire\16evo-save.txt,5,5,4,6,7,6,Ne
4/26/2017 20:08:58,data/questionnaire\16evo-save.txt,5,5,5,3,3,3,Ano
4/29/2017 10:14:34,data/questionnaire\16evo-save.txt,4,4,4,4,4,4,Ano
5/1/2017 22:20:46,data/questionnaire\16evo-save.txt,3,4,3,4,5,4,Ne
