Timestamp,Číslo hry - NEMĚNIT automaticky předvyplněno,Hra byla vyvážená,Hra pro mne představovala výzvu,"Nebyl jsem si do poslední chvíle jistý, kdo vyhraje","Přišlo mi, že AI hraje chytře",Hra byla obtížná,Nepřítel byl schopný hrát strategicky,Vyhrál jsem,Poznámka - zde volitelně libovolná poznámka/feedback k odehrané hře
4/26/2017 2:37:05,data/questionnaire\0evo-save.txt,4,3,5,3,3,3,Ano,
4/26/2017 15:06:24,data/questionnaire\0evo-save.txt,5,4,3,6,3,6,Ano,
4/26/2017 17:33:03,data/questionnaire\0evo-save.txt,3,6,2,5,6,5,Ano,"Myslím si, že je poměrně nevýhoda začínat, pokud mají oba hráči dost životů. Soupeř má možnost zajistit si, kde bude stát na konci kola a vyhnout se tak plošným kouzlům. Narozdíl od začínajícího hráče. Tím má velkou výhodu."
4/26/2017 19:40:37,data/questionnaire\0evo-save.txt,2,5,2,7,6,6,Ne,
4/27/2017 16:52:13,data/questionnaire\0evo-save.txt,1,4,1,3,6,2,Ne,
4/29/2017 9:30:39,data/questionnaire\0evo-save.txt,5,7,3,7,6,7,Ne,Keby som nezacastil nesprávny spell možno by som vyhral :D
5/1/2017 14:53:12,data/questionnaire\0evo-save.txt,1,6,3,5,5,5,Ano,
5/1/2017 20:48:28,data/questionnaire\0evo-save.txt,2,2,1,2,2,2,Ano,
4/26/2017 2:40:07,data/questionnaire\10evo-save.txt,7,3,7,7,2,7,Ne,
4/26/2017 15:11:52,data/questionnaire\10evo-save.txt,4,6,2,6,6,6,Ne,
4/26/2017 17:47:18,data/questionnaire\10evo-save.txt,2,3,2,5,4,5,Ano,"Nepřítel neměl šanci. Já měl 2 středně silné postavy a on měl jednu středně silnou postavičku a jednu ultra moc silnou. Problém byl v tom, že jeho ultra moc silná měla jen 3 action pointy a její akce měly dosah 5 políček a stály 2 AP... Tedy mohl zakouzlit za kolo jen jednu a to pouze v případě, že stačilo popojít jen jedno pole. Stačilo tedy zneškodnit jen jednu postavu a držet se dál od té druhé a měl jsem vyhráno. Tím spíš, že jedna z mých měla plošný debuf s rádiusem 5, který vysával AP. Tedy po jednom jeho zakouzlení byla jeho silná postava naprosto imobilizována na několik kol."
4/26/2017 19:45:24,data/questionnaire\10evo-save.txt,6,6,2,2,2,5,Ano,
4/27/2017 17:03:37,data/questionnaire\10evo-save.txt,1,1,1,1,1,1,Ano,
4/29/2017 9:39:10,data/questionnaire\10evo-save.txt,3,5,2,4,3,5,Ano,Ten 10hp mág bol trošku OP keď súper nemal action pointy
5/1/2017 14:57:52,data/questionnaire\10evo-save.txt,3,2,2,3,3,3,Ano,
5/1/2017 20:51:15,data/questionnaire\10evo-save.txt,1,1,1,3,6,3,Ne,
4/26/2017 2:43:35,data/questionnaire\11evo-save.txt,3,6,6,7,6,6,Ne,
4/26/2017 15:15:18,data/questionnaire\11evo-save.txt,2,4,2,5,7,5,Ne,
4/26/2017 17:56:36,data/questionnaire\11evo-save.txt,6,6,4,6,6,7,Ano,"Nepřítel byl o dost silnější a tedy představoval výzvu. Já měl jednu slabou postavu a jednu středně silnou s velkým množstvím AP. Slabá postava byla odsouzená k zániku ale se středně silnou se dalo zakouzlit a utéct se schovat na druhou stranu mapy, kam neměli šanci kouzlit. I tak mě občas ale zasáhli a byla to vcelku zajímavá výzva :)"
4/26/2017 19:50:51,data/questionnaire\11evo-save.txt,5,5,7,3,5,5,Ano,
4/27/2017 17:07:35,data/questionnaire\11evo-save.txt,1,1,1,3,6,2,Ne,
4/29/2017 9:46:42,data/questionnaire\11evo-save.txt,2,6,1,5,7,6,Ne,Mám pocit že v tejto hre mi unikla nejaká herná mechanika
5/1/2017 15:01:29,data/questionnaire\11evo-save.txt,3,6,2,4,6,6,Ne,
5/1/2017 20:53:58,data/questionnaire\11evo-save.txt,1,1,1,4,7,4,Ne,
4/26/2017 2:46:18,data/questionnaire\12evo-save.txt,7,6,7,7,5,7,Ne,nejvic tesny na svete
4/26/2017 15:20:55,data/questionnaire\12evo-save.txt,6,6,7,7,5,7,Ano,
4/26/2017 18:05:10,data/questionnaire\12evo-save.txt,5,7,3,6,5,6,Ano,
4/26/2017 19:53:40,data/questionnaire\12evo-save.txt,3,3,2,2,2,3,Ano,
4/29/2017 9:53:38,data/questionnaire\12evo-save.txt,3,4,3,6,3,5,Ano,"Po zabití 3HP súpera, nemal druhý súper šancu a mohol som robiť čokolvek a nezabil ma (okrem AFK samozrejme)"
5/1/2017 20:57:25,data/questionnaire\12evo-save.txt,5,5,5,4,5,5,Ano,
4/26/2017 2:50:03,data/questionnaire\13evo-save.txt,6,4,6,6,3,5,Ano,
4/26/2017 18:10:05,data/questionnaire\13evo-save.txt,5,3,1,6,3,6,Ano,
4/26/2017 19:59:26,data/questionnaire\13evo-save.txt,5,4,6,5,3,3,Ano,
